HBA_SMILES,HBD_SMILES,ratio,property_value,property_type,property_unity,method,functional,basis,forcefield
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,0.4,5.236,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,0.4,3.61,electrochemical_window,V,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,0.4,3.22,electrochemical_window,V,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,66.8,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,52.5,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,42,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,28.5,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,15.7,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,13.5,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,10.2,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,3.397,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,9.224,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,9.248,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,14.652,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,24.303,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,24.325,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,24.48,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,1.1145,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,1.1197,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,1.1192,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,1.1059,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,1.1,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,1.1003,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.333333333,3.89,electrochemical_window,V,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,112.1,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,109.9,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,106.9,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,95.63,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,75.4,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,49.9,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,32.6,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,21.65,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,16,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,1.0799,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,1.0761,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,1.072,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,1.0714,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,1.0687,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,1.0695,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,1.0645,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,1.054,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,1.091,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,2.185,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,4.407,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,6.909,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)CO,0.333333333,3.93,electrochemical_window,V,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,1.0305,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,1.0203,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,1.0169,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,1.0105,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,3.3882,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,3.3999,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,7.2752,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,7.5821,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,7.7303,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,12.161,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,18.3838,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,21.961,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,22.1082,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,28.8196,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,28.9674,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,29.0419,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CNC=O,0.1,3.74,electrochemical_window,V,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,152.25,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,113.6,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,67.1,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,40.1,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,25.1,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,18,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,12,viscosity,cp,dft,bp86,Def2-TZVP,UFF
